productUrl,price,originalPrice,numberOfSKUs
//www.lazada.co.th/products/qianxiu-q127-the-new-moisturizing-and-waterproof-moisturizer-is-not-easy-to-wear-cokkicosmetic-i224295407-s946252295.html?search=1,39.00,109.00,6
//www.lazada.co.th/products/39-maybelline-new-york-lipstick-the-creamy-mattes-by-colorsensational-39-g-i251837467-s388679041.html?search=1,149.00,,17
//www.lazada.co.th/products/37-loreal-paris-color-riche-matte-lipstick-37-g-i220427852-s335990900.html?search=1,175.00,349.00,27
//www.lazada.co.th/products/revlon-super-lustrous-lipstick-i328878882-s642766206.html?search=1,170.00,189.00,35
//www.lazada.co.th/products/heng-fang-66-i422716224-s806614470.html?search=1,89.00,,1
//www.lazada.co.th/products/lamuseland-12-i331448129-s637190304.html?search=1,25.00,59.00,12
//www.lazada.co.th/products/sivanna-matte-stay-lipstick-kiss-me-hf688-i232982346-s357203282.html?search=1,49.00,129.00,15
//www.lazada.co.th/products/1-i677062423-s1315150846.html?search=1,19.00,,1
//www.lazada.co.th/products/-i543952820-s985240831.html?search=1,15.00,,1
//www.lazada.co.th/products/mac-powder-kiss-lipstick-i262265158-s600210818.html?search=1,890.00,,22
//www.lazada.co.th/products/-i523686357-s935142763.html?search=1,20.00,,6
//www.lazada.co.th/products/sivanna-matte-stay-lipstick-kiss-me-lip-hf688-velvetcosme-i290666121-s482422626.html?search=1,49.00,149.00,15
//www.lazada.co.th/products/deesay-velvet-fit-matte-lip-10-3-i282670987-s460565922.html?search=1,99.00,,13
//www.lazada.co.th/products/in2it-liquid-matte-vmm-i349660881-s683826533.html?search=1,99.00,,4
//www.lazada.co.th/products/tanako-66-i568686859-s1043516557.html?search=1,69.00,,1
//www.lazada.co.th/products/deesay-velvet-fit-matte-lip-12-i346540602-s702698894.html?search=1,75.00,,10
//www.lazada.co.th/products/sasimi-s1034-35g-moisturizering-matte-lipstick-for-lips-waterproof-long-lasting-nourishing-lipstick-cokkicosmetic-i228587481-s349331557.html?search=1,59.00,159.00,6
//www.lazada.co.th/products/cod-water-matte-tint-45g-8-i618930515-s1178290679.html?search=1,20.00,40.00,8
//www.lazada.co.th/products/gina-glam-velvet-matte-lipstick-g37-i243769945-s374183529.html?search=1,49.00,95.00,12
//www.lazada.co.th/products/mee-hydro-matte-lip-color-42g-20-kiss-me-i289318420-s479170185.html?search=1,170.00,,1
//www.lazada.co.th/products/kiss-beauty-unicorn-lipstick-i374216100-s972352599.html?search=1,30.00,50.00,5
//www.lazada.co.th/products/images-12-12-mini-lipstick-1-set-12-pcs-12-colour-i303586894-s524124881.html?search=1,59.00,159.00,1
//www.lazada.co.th/products/inyuhanfei-matte-lipstick-i327570483-s732306273.html?search=1,35.00,159.00,6
//www.lazada.co.th/products/20-i686042532-s1321856932.html?search=1,20.00,,6
//www.lazada.co.th/products/qianxiu-q064-lipstick-1-10-10-small-suit-a-box-of-small-lipstick-mini-not-easy-to-fade-mini-lipstick-mini-10-cokkicosmetic-i224303561-s342820619.html?search=1,79.00,159.00,1
//www.lazada.co.th/products/sivanna-make-up-lip-liner-pencil-100-zaab-fashion-i278125439-s445521478.html?search=1,24.00,79.00,17
//www.lazada.co.th/products/20-baby-bright-lipcheek-matte-tint-karmart-cathy-doll-baby-bright-i294558511-s511624502.html?search=1,59.00,99.00,20
//www.lazada.co.th/products/water-matte-tint-45g-i593932079-s1241232710.html?search=1,20.00,50.00,8
//www.lazada.co.th/products/gogo-i577240864-s1066420990.html?search=1,95.00,180.00,1
//www.lazada.co.th/products/water-matte-tint-17g-8-602-i558436452-s1025584654.html?search=1,19.00,59.00,8
//www.lazada.co.th/products/no5154-novo-double-color-hydra-lip-2017-i225003933-s343850717.html?search=1,54.00,120.00,6
//www.lazada.co.th/products/baby-bright-lip-cheek-matte-tint-i289600907-s479866729.html?search=1,45.00,,20
//www.lazada.co.th/products/kiss-beauty-i557092256-s1021030564.html?search=1,59.00,120.00,1
//www.lazada.co.th/products/sivanna-matte-lip-hf7004-x-1-srsi-i249676083-s384978921.html?search=1,55.00,139.00,15
//www.lazada.co.th/products/hf66-6-i456384932-s842548149.html?search=1,89.00,,1
//www.lazada.co.th/products/kiss-beauty-lip-mini-kiss-me-6-i466394631-s853280087.html?search=1,99.00,129.00,1
//www.lazada.co.th/products/sivanna-kiss-me-lip-hf688-x-1-srsi-i249623781-s384928810.html?search=1,50.00,159.00,15
//www.lazada.co.th/products/39-maybelline-new-york-lipstick-city-heat-by-colorsensational-39-g-i369002731-s721072364.html?search=1,75.00,149.00,4
//www.lazada.co.th/products/16-menow-pro-super-stay-matte-liquid-lipstick-i317594387-s598082469.html?search=1,79.00,99.00,11
//www.lazada.co.th/products/lipstick-gina-glam-by-sivanna-no-g37-g37-1-043-i190266298-s358879244.html?search=1,75.00,200.00,12
//www.lazada.co.th/products/h9266-hengfang-35g-fruit-flavors-black-chrysanthemum-lipstick-temperature-changed-lip-balm-moisturizer-lips-35g-hengfang-cokkicosme-i266673167-s1043960030.html?search=1,59.00,159.00,3
//www.lazada.co.th/products/6-6-kiss-beauty-i370184627-s722967000.html?search=1,125.00,250.00,1
//www.lazada.co.th/products/kiss-beauty-i456262017-s842192943.html?search=1,20.00,99.00,6
//www.lazada.co.th/products/new-2019-peinifen-moist-charm-lip-17-i346252619-s676594877.html?search=1,25.00,59.00,8
